	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx
133	Neutrophil count (30140)	neutrophil count	EFO:0004833	34662886	UKB	418407.1590909091	EUR	Population Q	Separate File	1578
86	Neutrophil percentage (30200)	neutrophil percentage of leukocytes	EFO:0007990	34662886	UKB	418391.3333333333	EUR	Population Q	Separate File	1057
63	Eosinophil percentage (30210)	eosinophil percentage of leukocytes	EFO:0007991	34662886	UKB	418308.26829268294	EUR	Population Q	Separate File	912
64	Eosinophil count (30150)	eosinophil count	EFO:0004842	34662886	UKB	418303.05263157893	EUR	Population Q	Separate File	913
78	Mean reticulocyte volume (30260)	mean reticulocyte volume	EFO:0010701	34662886	UKB	412489.30894308945	EUR	Population Q	Separate File	1029
81	30260_mean_reticulocyte_volume_inst_mean__rint	mean reticulocyte volume	EFO:0010701	34662886	UKB	412489.30894308945	EUR	Population Q	Separate File	1032
70	Reticulocyte percentage (30240)	Reticulocyte Mean Corpuscular Hemoglobin Measurement	EFO:0009202	34662886	UKB	412401.10101010103	EUR	Population Q	Separate File	948
82	30240_reticulocyte_percentage_inst_mean__rint	Reticulocyte Mean Corpuscular Hemoglobin Measurement	EFO:0009202	34662886	UKB	412401.10101010103	EUR	Population Q	Separate File	1033
80	30250_reticulocyte_count_inst_mean__rint	reticulocyte count	EFO:0007986	34662886	UKB	412387.1296296296	EUR	Population Q	Separate File	1031
67	Reticulocyte count (30250)	reticulocyte count	EFO:0007986	34662886	UKB	412387.1296296296	EUR	Population Q	Separate File	945
75	Mean sphered cell volume (30270)	mean corpuscular volume	EFO:0004526	34662886	UKB	412312.125	EUR	Population Q	Separate File	1026
210	30280_immature_reticulocyte_fraction_inst_mean__rint	Immature Reticulocyte Fraction Measurement	EFO:0009253	34662886	UKB	412270.29411764705	EUR	Population Q	Separate File	2408
155	Immature reticulocyte fraction (30280)	Immature Reticulocyte Fraction Measurement	EFO:0009253	34662886	UKB	412270.29411764705	EUR	Population Q	Separate File	1740
186	30290_high_light_scatter_reticulocyte_percentage_inst_mean__rint	Reticulocyte Mean Corpuscular Hemoglobin Measurement	EFO:0009202	34662886	UKB	412231.72897196264	EUR	Population Q	Separate File	2173
68	High light scatter reticulocyte percentage (30290)	Reticulocyte Mean Corpuscular Hemoglobin Measurement	EFO:0009202	34662886	UKB	412231.72897196264	EUR	Population Q	Separate File	946
71	High light scatter reticulocyte count (30300)	Reticulocyte Mean Corpuscular Hemoglobin Measurement	EFO:0009202	34662886	UKB	412199.9569892473	EUR	Population Q	Separate File	949
187	30300_high_light_scatter_reticulocyte_count_inst_mean__rint	Reticulocyte Mean Corpuscular Hemoglobin Measurement	EFO:0009202	34662886	UKB	412199.9569892473	EUR	Population Q	Separate File	2174
79	30750_glycated_haemoglobin_hba1c_inst_mean__rint measurement	HbA1c measurement	EFO:0004541	34662886	UKB	412181.39823008847	EUR	Population Q	Separate File	1030
69	Glycated haemoglobin hba1c (30750) measurement	HbA1c measurement	EFO:0004541	34662886	UKB	412181.39823008847	EUR	Population Q	Separate File	947
9	30690_cholesterol_inst_mean__rint	cholesterol	CHEBI:16113	34662886	UKB	412065.9651162791	EUR	Population Q	Separate File	80
6	Cholesterol (30690)	cholesterol	CHEBI:16113	34662886	UKB	412065.9651162791	EUR	Population Q	Separate File	70
15	30610_alkaline_phosphatase_inst_mean__rint measurement	alkaline phosphatase measurement	EFO:0004533	34662886	UKB	412056.8292682927	EUR	Population Q	Separate File	299
14	Alkaline phosphatase (30610) measurement	alkaline phosphatase measurement	EFO:0004533	34662886	UKB	412056.8292682927	EUR	Population Q	Separate File	297
163	30720_cystatin_c_inst_mean__rint measurement	cystatin C measurement	EFO:0004617	34662886	UKB	412028.597826087	EUR	Population Q	Separate File	1931
112	Cystatin c (30720) measurement	cystatin C measurement	EFO:0004617	34662886	UKB	412028.597826087	EUR	Population Q	Separate File	1289
17	Alanine aminotransferase (30620) measurement	alanine aminotransferase 1 measurement	EFO:0802260	34662886	UKB	411869.5344827586	EUR	Population Q	Separate File	312
18	30620_alanine_aminotransferase_inst_mean__rint measurement	alanine aminotransferase 1 measurement	EFO:0802260	34662886	UKB	411869.5344827586	EUR	Population Q	Separate File	313
162	30700_creatinine_inst_mean__rint	creatinine	CHEBI:16737	34662886	UKB	411849.843373494	EUR	Population Q	Separate File	1930
19	Creatinine (30700)	creatinine	CHEBI:16737	34662886	UKB	411849.843373494	EUR	Population Q	Separate File	339
3	30730_gamma_glutamyltransferase_inst_mean__rint measurement	protein-glutamine gamma-glutamyltransferase e measurement	EFO:0020690	34662886	UKB	411824.38333333336	EUR	Population Q	Separate File	17
0	Gamma glutamyltransferase (30730) measurement	protein-glutamine gamma-glutamyltransferase e measurement	EFO:0020690	34662886	UKB	411824.38333333336	EUR	Population Q	Separate File	10
164	UREA (30670)	urea	CHEBI:16199	34662886	UKB	411808.0	EUR	Population Q	Separate File	1932
2	Triglycerides (30870)	triglyceride	CHEBI:17855	34662886	UKB	411723.1538461539	EUR	Population Q	Separate File	12
23	30880_urate_inst_mean__rint measurement	urate measurement	EFO:0004531	34662886	UKB	411578.0	EUR	Population Q	Separate File	376
22	URATE (30880) measurement	urate measurement	EFO:0004531	34662886	UKB	411578.0	EUR	Population Q	Separate File	375
106	30780_ldl_direct_inst_mean__rint	LDL cholesterol	EFO:0004195	34662886	UKB	411335.641025641	EUR	Population Q	Separate File	1198
24	Ldl direct (30780)	LDL cholesterol	EFO:0004195	34662886	UKB	411335.641025641	EUR	Population Q	Separate File	386
7	C reactive protein (30710) measurement	C-reactive protein measurement	EFO:0004458	34662886	UKB	411217.3333333333	EUR	Population Q	Separate File	71
88	30650_aspartate_aminotransferase_inst_mean__rint measurement	aspartate aminotransferase, cytoplasmic measurement	EFO:0008031	34662886	UKB	410623.4736842105	EUR	Population Q	Separate File	1105
89	Aspartate aminotransferase (30650) measurement	aspartate aminotransferase, cytoplasmic measurement	EFO:0008031	34662886	UKB	410623.4736842105	EUR	Population Q	Separate File	1106
20	Total bilirubin (30840) measurement	bilirubin measurement	EFO:0004570	34662886	UKB	410397.1101694915	EUR	Population Q	Separate File	351
1	Apolipoprotein b (30640) measurement	apolipoprotein B change measurement	EFO:0020874	34662886	UKB	410088.3846153846	EUR	Population Q	Separate File	11
105	30640_apolipoprotein_b_inst_mean__rint measurement	apolipoprotein B change measurement	EFO:0020874	34662886	UKB	410088.3846153846	EUR	Population Q	Separate File	1197
52	IGF 1 (30770) measurement	IGF-1 measurement	EFO:0004627	34662886	UKB	409902.61904761905	EUR	Population Q	Separate File	591
153	30770_igf_1_inst_mean__rint measurement	IGF-1 measurement	EFO:0004627	34662886	UKB	409902.61904761905	EUR	Population Q	Separate File	1682
193	Pulse rate automated reading (102)	heart rate	EFO:0004326	34662886	UKB	408184.1176470588	EUR	Population Q	Separate File	2252
170	4080_systolic_blood_pressure_automated_reading_inst_mean__rint	systolic blood pressure	EFO:0006335	34662886	UKB	408148.55555555556	EUR	Population Q	Separate File	1971
169	Systolic blood pressure automated reading (4080)	systolic blood pressure	EFO:0006335	34662886	UKB	408148.55555555556	EUR	Population Q	Separate File	1970
183	Diastolic blood pressure automated reading (4079)	diastolic blood pressure	EFO:0006336	34662886	UKB	407950.0	EUR	Population Q	Separate File	2074
120	Past tobacco smoking - i have never smoked (1249)	smoking behavior	EFO:0004318	34662886	UKB	397089.0	EUR	Population CC	Separate File	1372
56	Forced expiratory volume in 1 second fev1 (3063)	forced expiratory volume	EFO:0004314	34662886	UKB	395450.9166666667	EUR	Population Q	Separate File	633
178	Peak expiratory flow pef (3064)	peak expiratory flow	EFO:0009718	34662886	UKB	395450.0	EUR	Population Q	Separate File	2029
102	Vitamin d (30890)	vitamin D	CHEBI:27300	34662886	UKB	394357.2413793103	EUR	Population Q	Separate File	1194
328	Chronotype - definitely a morning person (1180) measurement	chronotype measurement	EFO:0008328	34662886	UKB	388330.0	EUR	Population CC	Separate File	2704
329	Chronotype - more an evening than a morning person (1180) measurement	chronotype measurement	EFO:0008328	34662886	UKB	388330.0	EUR	Population CC	Separate File	2705
360	Icd10 i42.9: cardiomyopathy, unspecified	cardiomyopathy	EFO:0000318	34662886	UKB	387930.0	EUR	Population CC	Separate File	2901
150	Icd10 c78.7: secondary malignant neoplasm of liver and intrahepatic bile duct	liver and intrahepatic bile duct neoplasm	MONDO:0024477	34662886	UKB	387930.0	EUR	Population CC	Separate File	1606
140	Icd10 z42.1: encounter for breast reconstruction following mastectomy	encounter with health service for breast reconstruction following mastectomy	EFO:0020978	34662886	UKB	387930.0	EUR	Population CC	Separate File	1586
247	Icd10 k76.6: portal hypertension	portal hypertension	EFO:0000666	34662886	UKB	387930.0	EUR	Population CC	Separate File	2466
144	Icd10 c78.6: secondary malignant neoplasm of retroperitoneum and peritoneum	retroperitoneal cancer	EFO:0007466	34662886	UKB	387930.0	EUR	Population CC	Separate File	1590
324	Icd10 h40.9: unspecified glaucoma	glaucoma	MONDO:0005041	34662886	UKB	387930.0	EUR	Population CC	Separate File	2662
303	Icd10 e21.0: primary hyperparathyroidism	primary hyperparathyroidism	EFO:0008519	34662886	UKB	387930.0	EUR	Population CC	Separate File	2624
333	Icd10 n18.9: chronic kidney disease, unspecified	chronic kidney disease	EFO:0003884	34662886	UKB	387930.0	EUR	Population CC	Separate File	2712
146	Icd10 c79.5: secondary malignant neoplasm of bone and bone marrow	bone marrow cancer	MONDO:0021138	34662886	UKB	387930.0	EUR	Population CC	Separate File	1602
358	Icd10 i50.9: heart failure, unspecified	heart failure	EFO:0003144	34662886	UKB	387930.0	EUR	Population CC	Separate File	2899
359	Icd10 i42.0: dilated cardiomyopathy	dilated cardiomyopathy	EFO:0000407	34662886	UKB	387930.0	EUR	Population CC	Separate File	2900
361	Icd10 i50.0: congestive heart failure (i50.0)	congestive heart failure	EFO:0000373	34662886	UKB	387930.0	EUR	Population CC	Separate File	2902
335	Icd10 i12.0: hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease	stage 5 chronic kidney disease	EFO:0009909	34662886	UKB	387930.0	EUR	Population CC	Separate File	2714
97	Icd10 d12.6: benign neoplasm of colon, unspecified	benign colon neoplasm	MONDO:0002278	34662886	UKB	387930.0	EUR	Population CC	Separate File	1151
90	Icd10 d12.8: benign neoplasm of rectum	benign neoplasm of rectum	MONDO:0021462	34662886	UKB	387930.0	EUR	Population CC	Separate File	1144
95	Icd10 d13.1: benign neoplasm of stomach	benign neoplasm of stomach	MONDO:0021449	34662886	UKB	387930.0	EUR	Population CC	Separate File	1149
342	Icd10 z45.8: encounter for adjustment and management of other implanted devices	encounter with health service for adjustment and management of implanted device	EFO:0020982	34662886	UKB	387930.0	EUR	Population CC	Separate File	2721
244	Icd10 z51.3: blood transfusion without reported diagnosis (z51.3)	blood transfusion	EFO:0020988	34662886	UKB	387930.0	EUR	Population CC	Separate File	2463
143	Icd10 z90.1: acquired absence of breast and nipple	breast cancer	MONDO:0007254	34662886	UKB	387929.0	EUR	Population CC	Separate File	1589
309	Icd10 c18.0: malignant neoplasm of cecum	cecum cancer	MONDO:0002033	34662886	UKB	387929.0	EUR	Population CC	Separate File	2639
96	Icd10 z86.0: personal history of in-situ and benign neoplasms and neoplasms of uncertain behavior	Benign Brain Neoplasm	EFO:1000107	34662886	UKB	387929.0	EUR	Population CC	Separate File	1150
211	Icd10 n28.1: cyst of kidney, acquired	Kidney Cyst	EFO:1000313	34662886	UKB	387926.0	EUR	Population CC	Separate File	2410
160	Icd10 c91.1: chronic lymphocytic leukemia of b-cell type	chronic lymphocytic leukemia	EFO:0000095	34662886	UKB	387925.25925925927	EUR	Population CC	Separate File	1901
340	Icd10 z45: encounter for adjustment and management of implanted device	encounter with health service for adjustment and management of implanted device	EFO:0020982	34662886	UKB	387920.0	EUR	Population CC	Separate File	2719
311	Icd10 z85.0: personal history of malignant neoplasm of digestive organs	family history of cancer	EFO:0009640	34662886	UKB	387916.0	EUR	Population CC	Separate File	2641
332	Icd10 i12: hypertensive chronic kidney disease	chronic kidney disease	EFO:0003884	34662886	UKB	387912.0	EUR	Population CC	Separate File	2711
251	Icd10 i25.1: atherosclerotic heart disease of native coronary artery	coronary artery disease	EFO:0001645	34662886	UKB	387911.0	EUR	Population CC	Separate File	2500
113	Icd10 c92: myeloid leukemia	leukemia	EFO:0000565	34662886	UKB	387906.85714285716	EUR	Population CC	Separate File	1365
77	Icd10 d73: diseases of spleen	splenic disease	EFO:0009002	34662886	UKB	387896.0	EUR	Population CC	Separate File	1028
128	Icd10 z85.3: personal history of malignant neoplasm of breast	family history of cancer	EFO:0009640	34662886	UKB	387891.6785714286	EUR	Population CC	Separate File	1419
92	Icd10 z93.2: ileostomy status	ileostomy	EFO:0010681	34662886	UKB	387887.0	EUR	Population CC	Separate File	1146
336	Icd10 d63.165.8: anemia in chronic kidney disease	chronic kidney disease	EFO:0003884	34662886	UKB	387884.875	EUR	Population CC	Separate File	2715
256	Icd10 i20.9: angina pectoris, unspecified	angina pectoris	EFO:0003913	34662886	UKB	387883.0	EUR	Population CC	Separate File	2508
151	Icd10 z85.4: personal history of malignant neoplasm of genital organs	Genital neoplasm, female	EFO:1001331	34662886	UKB	387875.75	EUR	Population CC	Separate File	1607
316	Icd10 z12.1: encounter for screening for malignant neoplasm of intestinal tract	examination for neoplasm	EFO:0021523	34662886	UKB	387867.0	EUR	Population CC	Separate File	2651
94	Icd10 z90.4: acquired absence of other specified parts of digestive tract	digestive system disease	EFO:0000405	34662886	UKB	387855.0	EUR	Population CC	Separate File	1148
134	Icd10 c91: lymphoid leukemia	leukemia	EFO:0000565	34662886	UKB	387828.28571428574	EUR	Population CC	Separate File	1579
305	Icd10 e21.3: hyperparathyroidism, unspecified	hyperparathyroidism	EFO:0008506	34662886	UKB	387820.0	EUR	Population CC	Separate File	2626
330	Icd10 i83.9: asymptomatic varicose veins of lower extremities	Varicose veins	HP:0002619	34662886	UKB	387815.0	EUR	Population CC	Separate File	2708
315	Icd10 c18.9: malignant neoplasm of colon, unspecified	malignant colon neoplasm	MONDO:0021063	34662886	UKB	387789.0	EUR	Population CC	Separate File	2645
354	Icd10 h25: age-related cataract	Age-related nuclear cataract	HP:0011142	34662886	UKB	387782.0	EUR	Population CC	Separate File	2892
337	Icd10 d04: carcinoma in situ of skin	skin carcinoma in situ	MONDO:0004641	34662886	UKB	387746.0	EUR	Population CC	Separate File	2716
362	Icd10 i50.1: left ventricular failure, unspecified	congestive heart failure	EFO:0000373	34662886	UKB	387725.0	EUR	Population CC	Separate File	2903
321	Icd10 i42: cardiomyopathy	cardiomyopathy	EFO:0000318	34662886	UKB	387709.0	EUR	Population CC	Separate File	2658
167	Icd10 k90.0: celiac disease	celiac disease	EFO:0001060	34662886	UKB	387692.0	EUR	Population CC	Separate File	1965
91	Icd10 d12: benign neoplasm of colon, rectum, anus and anal canal	anal neoplasm	EFO:0003835	34662886	UKB	387680.0	EUR	Population CC	Separate File	1145
212	Icd10 q61: cystic kidney disease	Cystic Kidney Disease	EFO:0008615	34662886	UKB	387677.25	EUR	Population CC	Separate File	2411
310	Icd10 c18: malignant neoplasm of colon	malignant colon neoplasm	MONDO:0021063	34662886	UKB	387657.0	EUR	Population CC	Separate File	2640
304	Icd10 e21: hyperparathyroidism and other disorders of parathyroid gland	secondary hyperparathyroidism	EFO:1001173	34662886	UKB	387625.0	EUR	Population CC	Separate File	2625
191	Icd10 i71: aortic aneurysm and dissection	Rare disease with thoracic aortic aneurysm and aortic dissection	Orphanet:285014	34662886	UKB	387517.0	EUR	Population CC	Separate File	2231
345	Icd10 i26.9: pulmonary embolism without acute cor pulmonale	cor pulmonale	MONDO:0004596	34662886	UKB	387510.0	EUR	Population CC	Separate File	2821
350	Icd10 d68: other coagulation defects	Other immunodeficiency syndrome with predominantly antibody defects	Orphanet:331244	34662886	UKB	387478.0	EUR	Population CC	Separate File	2851
114	Icd10 a41: other sepsis	Sepsis	HP:0100806	34662886	UKB	387444.4285714286	EUR	Population CC	Separate File	1366
93	Icd10 z83.7: family history of diseases of the digestive system	digestive system disease	EFO:0000405	34662886	UKB	387433.0	EUR	Population CC	Separate File	1147
124	Icd10 z85: personal history of malignant neoplasm	family history of cancer	EFO:0009640	34662886	UKB	387388.0	EUR	Population CC	Separate File	1415
194	Icd10 j93: pneumothorax and air leak	pneumothorax	MONDO:0002076	34662886	UKB	387375.0	EUR	Population CC	Separate File	2255
355	Icd10 i34.0: nonrheumatic mitral (valve) insufficiency	Macrothrombocytopenia with mitral valve insufficiency	Orphanet:220448	34662886	UKB	387332.0	EUR	Population CC	Separate File	2896
137	Icd10 z80.4: family history of malignant neoplasm of genital organs	family history of cancer	EFO:0009640	34662886	UKB	387284.0	EUR	Population CC	Separate File	1583
307	Icd10 c43: malignant melanoma of skin	cutaneous melanoma	EFO:0000389	34662886	UKB	387282.0	EUR	Population CC	Separate File	2635
148	Icd10 c80: malignant neoplasm without specification of site	Malignant Pleural Neoplasm	EFO:1000362	34662886	UKB	387252.0	EUR	Population CC	Separate File	1604
245	Icd10 e83: disorders of mineral metabolism	mineral metabolism disease	EFO:0009556	34662886	UKB	387207.0	EUR	Population CC	Separate File	2464
344	Icd10 i26: pulmonary embolism	pulmonary embolism	EFO:0003827	34662886	UKB	387206.0	EUR	Population CC	Separate File	2820
249	Icd10 i25: chronic ischemic heart disease	Myocardial Ischemia	EFO:1001375	34662886	UKB	387110.0	EUR	Population CC	Separate File	2497
363	Icd10 i50: heart failure	heart failure	EFO:0003144	34662886	UKB	387076.0	EUR	Population CC	Separate File	2904
119	Icd10 d70: neutropenia	Cyclic neutropenia	Orphanet:2686	34662886	UKB	387065.1538461539	EUR	Population CC	Separate File	1371
357	Icd10 i47: paroxysmal tachycardia	paroxysmal tachycardia	EFO:0009493	34662886	UKB	387060.0	EUR	Population CC	Separate File	2898
166	Icd10 k90: intestinal malabsorption	Malabsorption	HP:0002024	34662886	UKB	387032.0	EUR	Population CC	Separate File	1964
356	Icd10 i34: nonrheumatic mitral valve disorders	mitral valve disease	EFO:0009557	34662886	UKB	386860.0	EUR	Population CC	Separate File	2897
349	Icd10 i48: atrial fibrillation and flutter	atrial flutter	EFO:0003911	34662886	UKB	386856.0	EUR	Population CC	Separate File	2841
184	Icd10 l40.9: psoriasis, unspecified	psoriasis	EFO:0000676	34662886	UKB	386791.3333333333	EUR	Population CC	Separate File	2167
351	Icd10 m50: cervical disc disorders	cervical disc degenerative disorder	EFO:0009537	34662886	UKB	386602.0	EUR	Population CC	Separate File	2870
99	Icd10 z87.1: personal history of diseases of the digestive system	digestive system disease	EFO:0000405	34662886	UKB	386566.0	EUR	Population CC	Separate File	1153
255	Icd10 i20: angina pectoris	angina pectoris	EFO:0003913	34662886	UKB	386565.0	EUR	Population CC	Separate File	2506
142	Icd10 z80.3: family history of malignant neoplasm of breast	family history of cancer	EFO:0009640	34662886	UKB	386034.0	EUR	Population CC	Separate File	1588
364	Icd10 i51: complications and ill-defined descriptions of heart disease	cardiovascular disease	EFO:0000319	34662886	UKB	385880.0	EUR	Population CC	Separate File	2905
207	Icd10 e11.9: type 2 diabetes mellitus without complications	type 2 diabetes mellitus	MONDO:0005148	34662886	UKB	385813.3076923077	EUR	Population CC	Separate File	2390
334	Icd10 z99.2: dependence on renal dialysis	renal dialysis	EFO:0010690	34662886	UKB	385553.0	EUR	Population CC	Separate File	2713
338	Icd10 z99: dependence on enabling machines and devices, not elsewhere classified	dependence on enabling machines and devices	EFO:0020981	34662886	UKB	385473.0	EUR	Population CC	Separate File	2717
314	Icd10 z80.0: family history of malignant neoplasm of digestive organs	family history of cancer	EFO:0009640	34662886	UKB	385471.0	EUR	Population CC	Separate File	2644
16	Icd10 k80: cholelithiasis	cholelithiasis	EFO:0004799	34662886	UKB	385441.0	EUR	Population CC	Separate File	311
352	Icd10 e03.9: hypothyroidism, unspecified	hypothyroidism	EFO:0004705	34662886	UKB	385358.0	EUR	Population CC	Separate File	2884
205	Icd10 e11: type 2 diabetes mellitus	type 2 diabetes mellitus	MONDO:0005148	34662886	UKB	385279.9375	EUR	Population CC	Separate File	2322
51	Icd10 r04.0: epistaxis	epistaxis	EFO:0003895	34662886	UKB	385081.0	EUR	Population CC	Separate File	584
72	Icd10 h40: glaucoma	glaucoma	MONDO:0005041	34662886	UKB	384560.0	EUR	Population CC	Separate File	1020
156	Icd10 h26: other cataract	Microphthalmia - cataract	Orphanet:2543	34662886	UKB	384417.1818181818	EUR	Population CC	Separate File	1757
200	Icd10 j45: asthma	asthma	MONDO:0004979	34662886	UKB	383903.6	EUR	Population CC	Separate File	2266
185	Icd10 l40: psoriasis	psoriasis	EFO:0000676	34662886	UKB	383065.3333333333	EUR	Population CC	Separate File	2168
353	Icd10 e03: other hypothyroidism	hypothyroidism	EFO:0004705	34662886	UKB	383065.0	EUR	Population CC	Separate File	2885
339	Icd10 n18: chronic kidney disease (ckd)	chronic kidney disease	EFO:0003884	34662886	UKB	382842.9	EUR	Population CC	Separate File	2718
331	Icd10 i83: varicose veins of lower extremities	Varicose veins	HP:0002619	34662886	UKB	380908.0	EUR	Population CC	Separate File	2709
12	Albumin (30600)	serum albumin	PR:000003918	34662886	UKB	378372.46341463417	EUR	Population Q	Separate File	238
11	30600_albumin_inst_mean__rint measurement	serum albumin change measurement	EFO:0020895	34662886	UKB	378372.46341463417	EUR	Population Q	Separate File	237
103	Icd10 e78.0: pure hypercholesterolemia	Hypercholesterolemia	HP:0003124	34662886	UKB	378270.6666666667	EUR	Population CC	Separate File	1195
66	Calcium (30680) measurement	calcium measurement	EFO:0004838	34662886	UKB	378234.65	EUR	Population Q	Separate File	924
4	Hdl cholesterol (30760) measurement	HDL cholesterol change measurement	EFO:0007805	34662886	UKB	378175.2262773723	EUR	Population Q	Separate File	67
8	30760_hdl_cholesterol_inst_mean__rint measurement	HDL cholesterol change measurement	EFO:0007805	34662886	UKB	378175.2262773723	EUR	Population Q	Separate File	72
136	Icd10 z80: family history of primary malignant neoplasm	family history of cancer	EFO:0009640	34662886	UKB	378063.0	EUR	Population CC	Separate File	1582
85	Total protein (30860) measurement	total blood protein measurement	EFO:0004536	34662886	UKB	377953.76744186046	EUR	Population Q	Separate File	1056
190	Glucose (30740)	glucose	CHEBI:17234	34662886	UKB	377731.1818181818	EUR	Population Q	Separate File	2222
65	Phosphate (30810)	phosphate	CHEBI:26020	34662886	UKB	377643.6666666667	EUR	Population Q	Separate File	923
118	Icd10 z72.0: tobacco use	nicotine dependence	EFO:0003768	34662886	UKB	377012.0	EUR	Population CC	Separate File	1370
98	Icd10 z83: family history of other specific disorders	family history	EFO:0000493	34662886	UKB	376753.0	EUR	Population CC	Separate File	1152
343	Vte pe cc (rgc)	venous thromboembolism	EFO:0004286	34662886	UKB	376456.0	EUR	Population CC	Separate File	2819
201	Asthma strict cc (rgc)	asthma	MONDO:0004979	34662886	UKB	376220.8	EUR	Population CC	Separate File	2267
5	Apolipoprotein a (30630) measurement	apolipoprotein A-IV measurement	EFO:0007848	34662886	UKB	376088.68613138684	EUR	Population Q	Separate File	69
248	Icd10 e78.00: pure hypercholesterolemia, unspecified	Hypercholesterolemia	HP:0003124	34662886	UKB	375399.0	EUR	Population CC	Separate File	2496
198	Asthma (rgc)	asthma	MONDO:0004979	34662886	UKB	375396.8	EUR	Population CC	Separate File	2262
199	Rgc_asthma__bin	asthma	MONDO:0004979	34662886	UKB	375396.8	EUR	Population CC	Separate File	2264
123	SHBG (30830) measurement	sex hormone-binding globulin measurement	EFO:0004696	34662886	UKB	374766.9791666667	EUR	Population Q	Separate File	1407
208	30830_shbg_inst_mean__rint measurement	sex hormone-binding globulin measurement	EFO:0004696	34662886	UKB	374766.9791666667	EUR	Population Q	Separate File	2391
327	2217_age_started_wearing_glasses_or_contact_lenses_inst_mean__rint	age at initiation of corrective lens use	EFO:0021781	34662886	UKB	374618.6666666667	EUR	Population Q	Separate File	2685
154	Age started wearing glasses or contact lenses (2217)	age at initiation of corrective lens use	EFO:0021781	34662886	UKB	374618.6666666667	EUR	Population Q	Separate File	1720
341	Icd10 i10: essential (primary) hypertension	hypertension	EFO:0000537	34662886	UKB	374207.0	EUR	Population CC	Separate File	2720
326	Testosterone (30850)	testosterone	CHEBI:17347	34662886	UKB	373643.0	EUR	Population Q	Separate File	2679
115	Icd10 f17: nicotine dependence	nicotine dependence	EFO:0003768	34662886	UKB	370495.0	EUR	Population CC	Separate File	1367
21	Direct bilirubin (30660) measurement	bilirubin measurement	EFO:0004570	34662886	UKB	351638.77142857143	EUR	Population Q	Separate File	352
107	30660_direct_bilirubin_inst_mean__rint measurement	bilirubin measurement	EFO:0004570	34662886	UKB	351638.77142857143	EUR	Population Q	Separate File	1201
152	Icd10 z40: encounter for prophylactic surgery	prophylactic surgery	EFO:0009580	34662886	UKB	347298.0	EUR	Population CC	Separate File	1608
204	Forced expiratory volume in 1 second fev1 z score (20256)	forced expiratory volume	EFO:0004314	34662886	UKB	343301.5	EUR	Population Q	Separate File	2312
10	Fev1 fvc ratio z score (20258)	FEV/FEC ratio	EFO:0004713	34662886	UKB	343264.1666666667	EUR	Population Q	Separate File	172
60	20258_fev1_fvc_ratio_z_score_inst_mean__rint	FEV/FEC ratio	EFO:0004713	34662886	UKB	343264.1666666667	EUR	Population Q	Separate File	791
254	Icd10 z82.4: family history of ischemic heart disease and other diseases of the circulatory system	cardiovascular disease	EFO:0000319	34662886	UKB	340245.0	EUR	Population CC	Separate File	2504
196	Non cancer illness code self reported - spontaneous pneumothorax recurrent pneumothorax	Spontaneous pneumothorax	HP:0002108	34662886	UKB	331754.0	EUR	Population CC	Separate File	2257
223	Lipoprotein a (30790)	lipoprotein	EFO:0003836	34662886	UKB	329256.5294117647	EUR	Population Q	Separate File	2424
195	Non cancer illness code self reported - spontaneous pneumothorax recurrent pneumothorax/icd10 j93	Spontaneous pneumothorax	HP:0002108	34662886	UKB	329051.0	EUR	Population CC	Separate File	2256
57	20150_forced_expiratory_volume_in_1_second_fev1_best_measure_inst_mean__rint	forced expiratory volume	EFO:0004314	34662886	UKB	322001.9166666667	EUR	Population Q	Separate File	634
55	Forced expiratory volume in 1 second fev1 best measure (20150)	forced expiratory volume	EFO:0004314	34662886	UKB	322001.9166666667	EUR	Population Q	Separate File	631
365	Treatment or medication code - warfarin	warfarin	CHEBI:10033	34662886	UKB	320758.0	EUR	Population CC	Separate File	2907
252	Treatment or medication code - rosuvastatin	rosuvastatin	CHEBI:38545	34662886	UKB	320758.0	EUR	Population CC	Separate File	2501
101	Treatment or medication code - simvastatin	simvastatin	CHEBI:9150	34662886	UKB	320758.0	EUR	Population CC	Separate File	1193
104	Treatment or medication code - atorvastatin	atorvastatin	CHEBI:39548	34662886	UKB	320758.0	EUR	Population CC	Separate File	1196
246	Treatment or medication code - allopurinol	allopurinol	CHEBI:40279	34662886	UKB	320758.0	EUR	Population CC	Separate File	2465
257	Metformin med (rgc)	metformin	CHEBI:6801	34662886	UKB	320758.0	EUR	Population CC	Separate File	2547
165	Hearing loss (rgc)	hearing loss	EFO:0004238	34662886	UKB	295014.1666666667	EUR	Population CC	Separate File	1963
50	Birth weight (20022)	birth weight	EFO:0004344	34662886	UKB	246882.33333333334	EUR	Population Q	Separate File	581
299	Tag obesity (rgc)	obesity	EFO:0001073	34662886	UKB	246639.0	EUR	Population CC	Separate File	2604
232	78_heel_bone_mineral_density_bmd_t_score_automated_inst_mean__rint	heel bone mineral density	EFO:0009270	34662886	UKB	246183.29411764705	EUR	Population Q	Separate File	2443
238	Heel quantitative ultrasound index qui direct entry (3147) measurement	calcaneal bone quantitative ultrasound measurement	EFO:0007772	34662886	UKB	246183.29411764705	EUR	Population Q	Separate File	2449
