	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx	Trait	Mapped	TraitExp	MappedExp	MAPPED_TRAIT_CLEAN	TRAIT_CODE_CLEAN
99	Trochanteric bursitis	bursitis	MONDO:0002471	34375979	UKB	177002.0	EUR	Population CC		522	trochanteric bursitis	bursitis	trochanteric bursitis	bursitis	bursitis	MONDO_0002471
545	Dyspareunia	Dyspareunia	HP:0030016	34375979	UKB	146157.0	EUR	Population CC		1530	dyspareunia	dyspareunia	dyspareunia	dyspareunia	dyspareunia	HP_0030016
891	Calculus in bladder	bladder calculus	EFO:1000839	34375979	UKB	143876.0	EUR	Population CC		2289	calculus in bladder	bladder calculus	calculus in bladder	bladder calculus	bladder calculus	EFO_1000839
130	Endometrial glandular hyperplasia	endometrial hyperplasia	MONDO:0041161	34375979	UKB	146157.0	EUR	Population CC		579	endometrial glandular hyperplasia	endometrial hyperplasia	endometrial glandular hyperplasia	endometrial hyperplasia	endometrial hyperplasia	MONDO_0041161
538	Rheumatic tricuspid valve diseases	tricuspid valve disease	EFO:0009568	34375979	UKB	238153.0	EUR	Population CC		1518	rheumatic tricuspid valve diseases	tricuspid valve disease	rheumatic tricuspid valve diseases	tricuspid valve disease	tricuspid valve disease	EFO_0009568
637	Other congenital malformations of the digestive system	digestive system disease	EFO:0000405	34375979	UKB	243345.0	EUR	Population CC		1733	other congenital malformations of the digestive system	digestive system disease	other congenital malformations of the digestive system	digestive system disease	digestive system disease	EFO_0000405
111	Malignant neoplasm of stomach	stomach neoplasm	EFO:0003897	34375979	UKB	175943.0	EUR	Population CC		546	malignant neoplasm of stomach	stomach neoplasm	malignant neoplasm of stomach	stomach neoplasm	stomach neoplasm	EFO_0003897
267	Other disorders of adrenal gland	adrenal gland disease	EFO:0005539	34375979	UKB	269170.0	EUR	Population CC		859	other disorders of adrenal gland	adrenal gland disease	other disorders of adrenal gland	adrenal gland disease	adrenal gland disease	EFO_0005539
808	Mental and behavioural disorders associated with the puerperium| not elsewhere classified	mental or behavioural disorder	EFO:0000677	34375979	UKB	146982.0	EUR	Population CC		2098	mental and behavioural disorders associated with the puerperium| not elsewhere classified	mental or behavioural disorder	mental and behavioural disorders associated with the puerperium| not elsewhere classified	mental or behavioural disorder	mental or behavioural disorder	EFO_0000677
379	Other amnesia	amnesia	EFO:1001454	34375979	UKB	226001.0	EUR	Population CC		1138	other amnesia	amnesia	other amnesia	amnesia	amnesia	EFO_1001454
422	Other aneurysm	aneurysm	EFO:0009659	34375979	UKB	197154.0	EUR	Population CC		1279	other aneurysm	aneurysm	other aneurysm	aneurysm	aneurysm	EFO_0009659
785	Cholangitis	Cholangitis	HP:0030151	34375979	UKB	202174.0	EUR	Population CC		2052	cholangitis	cholangitis	cholangitis	cholangitis	cholangitis	HP_0030151
658	Sleep disorder| unspecified	Sleep Disorder	EFO:0008568	34375979	UKB	181323.0	EUR	Population CC		1776	sleep disorder| unspecified	sleep disorder	sleep disorder| unspecified	sleep disorder	sleep disorder	EFO_0008568
188	Volvulus	intestinal volvulus	EFO:1000989	34375979	UKB	251834.0	EUR	Population CC		684	volvulus	intestinal volvulus	volvulus	intestinal volvulus	intestinal volvulus	EFO_1000989
632	Endometriosis of ovary	Ovarian Endometriosis	EFO:1000418	34375979	UKB	146157.0	EUR	Population CC		1719	endometriosis of ovary	ovarian endometriosis	endometriosis of ovary	ovarian endometriosis	ovarian endometriosis	EFO_1000418
699	Other complications of surgical and medical care| not elsewhere classified	medical procedure	EFO:0002571	34375979	UKB	251635.0	EUR	Population CC		1841	other complications of surgical and medical care| not elsewhere classified	medical procedure	other complications of surgical and medical care| not elsewhere classified	medical procedure	medical procedure	EFO_0002571
613	Labyrinthitis	labyrinthitis	EFO:0009604	34375979	UKB	247016.0	EUR	Population CC		1688	labyrinthitis	labyrinthitis	labyrinthitis	labyrinthitis	labyrinthitis	EFO_0009604
86	Bacterial pneumonia| not elsewhere classified	bacterial pneumonia	EFO:1001272	34375979	UKB	211142.0	EUR	Population CC		488	bacterial pneumonia| not elsewhere classified	bacterial pneumonia	bacterial pneumonia| not elsewhere classified	bacterial pneumonia	bacterial pneumonia	EFO_1001272
523	Trigger finger-hand	stenosing tenosynovitis	EFO:0010822	34375979	UKB	246730.0	EUR	Population CC		1484	trigger finger-hand	stenosing tenosynovitis	trigger finger-hand	stenosing tenosynovitis	stenosing tenosynovitis	EFO_0010822
831	Enterocolitis due to clostridium difficile	clostridium difficile infection	EFO:0009130	34375979	UKB	269170.0	EUR	Population CC		2131	enterocolitis due to clostridium difficile	clostridium difficile infection	enterocolitis due to clostridium difficile	clostridium difficile infection	clostridium difficile infection	EFO_0009130
65	Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries	anterior cerebral artery infarction	EFO:1000807	34375979	UKB	201837.0	EUR	Population CC		411	cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries	anterior cerebral artery infarction	cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries	anterior cerebral artery infarction	anterior cerebral artery infarction	EFO_1000807
433	Other immediate postpartum haemorrhage	postpartum hemorrhage	EFO:0009579	34375979	UKB	146157.0	EUR	Population CC		1302	other immediate postpartum haemorrhage	postpartum hemorrhage	other immediate postpartum haemorrhage	postpartum hemorrhage	postpartum hemorrhage	EFO_0009579
269	Carcinoma in situ of other and unspecified genital organs	respiratory system disease	EFO:0000684	34375979	UKB	161289.0	EUR	Population CC		865	carcinoma in situ of other and unspecified genital organs	respiratory system disease	carcinoma in situ of other and unspecified genital organs	respiratory system disease	respiratory system disease	EFO_0000684
239	Malignant neoplasm of brain	brain neoplasm	EFO:0003833	34375979	UKB	230131.0	EUR	Population CC		799	malignant neoplasm of brain	brain neoplasm	malignant neoplasm of brain	brain neoplasm	brain neoplasm	EFO_0003833
324	Other specified joint disorders	digestive system disease	EFO:0000405	34375979	UKB	250124.0	EUR	Population CC		1010	other specified joint disorders	digestive system disease	other specified joint disorders	digestive system disease	digestive system disease	EFO_0000405
447	Congenital malformations of cardiac septa	conotruncal heart malformations	MONDO:0016581	34375979	UKB	269170.0	EUR	Population CC		1327	congenital malformations of cardiac septa	conotruncal heart malformations	congenital malformations of cardiac septa	conotruncal heart malformations	conotruncal heart malformations	MONDO_0016581
164	Cellulitis of trunk	cellulitis	EFO:0003035	34375979	UKB	248852.0	EUR	Population CC		651	cellulitis of trunk	cellulitis	cellulitis of trunk	cellulitis	cellulitis	EFO_0003035
310	Dystonia	dystonic disorder	MONDO:0003441	34375979	UKB	237551.0	EUR	Population CC		943	dystonia	dystonic disorder	dystonia	dystonic disorder	dystonic disorder	MONDO_0003441
584	Ethanol	ethanol	CHEBI:16236	34375979	UKB	269170.0	EUR	Population CC		1629	ethanol	ethanol	ethanol	ethanol	ethanol	CHEBI_16236
238	Atrioventricular block| second degree	Second degree atrioventricular block	HP:0011706	34375979	UKB	176253.0	EUR	Population CC		794	atrioventricular block| second degree	second degree atrioventricular block	atrioventricular block| second degree	second degree atrioventricular block	second degree atrioventricular block	HP_0011706
918	Ovulation bleeding	Abnormal bleeding	HP:0001892	34375979	UKB	146157.0	EUR	Population CC		2365	ovulation bleeding	abnormal bleeding	ovulation bleeding	abnormal bleeding	abnormal bleeding	HP_0001892
606	Abnormal results of cardiovascular function studies	abnormal result of function studies	EFO:0009628	34375979	UKB	235150.0	EUR	Population CC		1676	abnormal results of cardiovascular function studies	abnormal result of function studies	abnormal results of cardiovascular function studies	abnormal result of function studies	abnormal result of function studies	EFO_0009628
578	Urethritis and urethral syndrome	urethritis	EFO:0003878	34375979	UKB	181757.0	EUR	Population CC		1621	urethritis and urethral syndrome	urethritis	urethritis and urethral syndrome	urethritis	urethritis	EFO_0003878
513	Malignant neoplasm of liver and intrahepatic bile ducts	liver and intrahepatic bile duct neoplasm	MONDO:0024477	34375979	UKB	194510.0	EUR	Population CC		1463	malignant neoplasm of liver and intrahepatic bile ducts	liver and intrahepatic bile duct neoplasm	malignant neoplasm of liver and intrahepatic bile ducts	liver and intrahepatic bile duct neoplasm	liver and intrahepatic bile duct neoplasm	MONDO_0024477
328	Diseases of spleen	splenic disease	EFO:0009002	34375979	UKB	224381.0	EUR	Population CC		1037	diseases of spleen	splenic disease	diseases of spleen	splenic disease	splenic disease	EFO_0009002
707	Abnormal glucose tolerance test	glucose tolerance test	EFO:0004307	34375979	UKB	230094.0	EUR	Population CC		1868	abnormal glucose tolerance test	glucose tolerance test	abnormal glucose tolerance test	glucose tolerance test	glucose tolerance test	EFO_0004307
438	Other chronic cystitis	chronic cystitis	EFO:1000023	34375979	UKB	269170.0	EUR	Population CC		1310	other chronic cystitis	chronic cystitis	other chronic cystitis	chronic cystitis	chronic cystitis	EFO_1000023
412	Disorders of other cranial nerves	tumour of cranial and spinal nerves	EFO:0002431	34375979	UKB	227151.0	EUR	Population CC		1255	disorders of other cranial nerves	tumour of cranial and spinal nerves	disorders of other cranial nerves	tumour of cranial and spinal nerves	tumour of cranial and spinal nerves	EFO_0002431
526	Eccrine sweat disorders	eccrine sweat gland cancer	EFO:0005553	34375979	UKB	216924.0	EUR	Population CC		1492	eccrine sweat disorders	eccrine sweat gland cancer	eccrine sweat disorders	eccrine sweat gland cancer	eccrine sweat gland cancer	EFO_0005553
844	Acute hepatitis a	Hepatitis, Alcoholic	EFO:1001345	34375979	UKB	269170.0	EUR	Population CC		2157	acute hepatitis a	hepatitis, alcoholic	acute hepatitis a	hepatitis, alcoholic	hepatitis, alcoholic	EFO_1001345
591	Other specified diseases of pancreas	digestive system disease	EFO:0000405	34375979	UKB	269170.0	EUR	Population CC		1641	other specified diseases of pancreas	digestive system disease	other specified diseases of pancreas	digestive system disease	digestive system disease	EFO_0000405
93	Fracture of upper end of tibia	tibia fracture	EFO:0003944	34375979	UKB	232769.0	EUR	Population CC		502	fracture of upper end of tibia	tibia fracture	fracture of upper end of tibia	tibia fracture	tibia fracture	EFO_0003944
443	Myalgia	Myalgia	HP:0003326	34375979	UKB	269170.0	EUR	Population CC		1321	myalgia	myalgia	myalgia	myalgia	myalgia	HP_0003326
143	Ileus| unspecified	ileus	MONDO:0004567	34375979	UKB	194007.0	EUR	Population CC		608	ileus| unspecified	ileus	ileus| unspecified	ileus	ileus	MONDO_0004567
342	Other cystitis	chronic cystitis	EFO:1000023	34375979	UKB	269170.0	EUR	Population CC		1072	other cystitis	chronic cystitis	other cystitis	chronic cystitis	chronic cystitis	EFO_1000023
521	Benign neoplasm of meninges	benign neoplasm	EFO:0002422	34375979	UKB	193666.0	EUR	Population CC		1482	benign neoplasm of meninges	benign neoplasm	benign neoplasm of meninges	benign neoplasm	benign neoplasm	EFO_0002422
58	Disorders of phosphorus metabolism	phosphorus metabolism disease	MONDO:0002319	34375979	UKB	219317.0	EUR	Population CC		397	disorders of phosphorus metabolism	phosphorus metabolism disease	disorders of phosphorus metabolism	phosphorus metabolism disease	phosphorus metabolism disease	MONDO_0002319
245	Corneal degeneration	corneal degeneration	MONDO:0001515	34375979	UKB	269170.0	EUR	Population CC		818	corneal degeneration	corneal degeneration	corneal degeneration	corneal degeneration	corneal degeneration	MONDO_0001515
331	Oesophageal varices	esophageal varices	EFO:0009545	34375979	UKB	187603.0	EUR	Population CC		1040	oesophageal varices	esophageal varices	oesophageal varices	esophageal varices	esophageal varices	EFO_0009545
281	Blepharitis	blepharitis	EFO:0009536	34375979	UKB	269170.0	EUR	Population CC		888	blepharitis	blepharitis	blepharitis	blepharitis	blepharitis	EFO_0009536
674	Lumbago with sciatica	Sciatica	HP:0011868	34375979	UKB	234263.0	EUR	Population CC		1806	lumbago with sciatica	sciatica	lumbago with sciatica	sciatica	sciatica	HP_0011868
273	Tricuspid insufficiency	Tricuspid regurgitation	HP:0005180	34375979	UKB	227635.0	EUR	Population CC		877	tricuspid insufficiency	tricuspid regurgitation	tricuspid insufficiency	tricuspid regurgitation	tricuspid regurgitation	HP_0005180
272	Cardiac arrest| unspecified	cardiac arrest	EFO:0009492	34375979	UKB	182229.0	EUR	Population CC		876	cardiac arrest| unspecified	cardiac arrest	cardiac arrest| unspecified	cardiac arrest	cardiac arrest	EFO_0009492
263	Other nontraumatic intracranial haemorrhage	intracranial hemorrhage	EFO:0000551	34375979	UKB	193754.0	EUR	Population CC		848	other nontraumatic intracranial haemorrhage	intracranial hemorrhage	other nontraumatic intracranial haemorrhage	intracranial hemorrhage	intracranial hemorrhage	EFO_0000551
596	Diverticular disease of large intestine with perforation and abscess	diverticulitis of colon	MONDO:0001674	34375979	UKB	269170.0	EUR	Population CC		1657	diverticular disease of large intestine with perforation and abscess	diverticulitis of colon	diverticular disease of large intestine with perforation and abscess	diverticulitis of colon	diverticulitis of colon	MONDO_0001674
38	Pulmonary oedema	pulmonary edema	EFO:1001134	34375979	UKB	223514.0	EUR	Population CC		347	pulmonary oedema	pulmonary edema	pulmonary oedema	pulmonary edema	pulmonary edema	EFO_1001134
108	Other congenital malformations	complex cortical dysplasia with other brain malformations	MONDO:0000904	34375979	UKB	237185.0	EUR	Population CC		542	other congenital malformations	complex cortical dysplasia with other brain malformations	other congenital malformations	complex cortical dysplasia with other brain malformations	complex cortical dysplasia with other brain malformations	MONDO_0000904
364	Traumatic subdural haemorrhage	Subdural hemorrhage	HP:0100309	34375979	UKB	191315.0	EUR	Population CC		1104	traumatic subdural haemorrhage	subdural hemorrhage	traumatic subdural haemorrhage	subdural hemorrhage	subdural hemorrhage	HP_0100309
411	Hepatic failure| not elsewhere classified	Hepatic failure	HP:0001399	34375979	UKB	190269.0	EUR	Population CC		1254	hepatic failure| not elsewhere classified	hepatic failure	hepatic failure| not elsewhere classified	hepatic failure	hepatic failure	HP_0001399
886	Pneumonia due to streptococcus pneumoniae	streptococcal pneumonia	EFO:0007499	34375979	UKB	226844.0	EUR	Population CC		2282	pneumonia due to streptococcus pneumoniae	streptococcal pneumonia	pneumonia due to streptococcus pneumoniae	streptococcal pneumonia	streptococcal pneumonia	EFO_0007499
655	Ectopic pregnancy	Ectopic pregnancy	HP:0031456	34375979	UKB	146157.0	EUR	Population CC		1772	ectopic pregnancy	ectopic pregnancy	ectopic pregnancy	ectopic pregnancy	ectopic pregnancy	HP_0031456
366	Lateral epicondylitis	lateral epicondylitis	EFO:1001896	34375979	UKB	269170.0	EUR	Population CC		1113	lateral epicondylitis	lateral epicondylitis	lateral epicondylitis	lateral epicondylitis	lateral epicondylitis	EFO_1001896
704	Vaginal enterocele	enterocele	EFO:0020006	34375979	UKB	146157.0	EUR	Population CC		1860	vaginal enterocele	enterocele	vaginal enterocele	enterocele	enterocele	EFO_0020006
97	Fracture of rib	rib fracture	EFO:0009620	34375979	UKB	177205.0	EUR	Population CC		511	fracture of rib	rib fracture	fracture of rib	rib fracture	rib fracture	EFO_0009620
332	Oesophageal varices without bleeding	esophageal varices	EFO:0009545	34375979	UKB	191637.0	EUR	Population CC		1041	oesophageal varices without bleeding	esophageal varices	oesophageal varices without bleeding	esophageal varices	esophageal varices	EFO_0009545
87	Lichen planus| unspecified	lichen planus	EFO:1000726	34375979	UKB	205091.0	EUR	Population CC		489	lichen planus| unspecified	lichen planus	lichen planus| unspecified	lichen planus	lichen planus	EFO_1000726
376	Viral hepatitis	viral human hepatitis infection	EFO:0004196	34375979	UKB	207012.0	EUR	Population CC		1133	viral hepatitis	viral human hepatitis infection	viral hepatitis	viral human hepatitis infection	viral human hepatitis infection	EFO_0004196
709	Endometriosis of pelvic peritoneum	endometriosis of pelvic peritoneum	MONDO:0001285	34375979	UKB	146157.0	EUR	Population CC		1873	endometriosis of pelvic peritoneum	endometriosis of pelvic peritoneum	endometriosis of pelvic peritoneum	endometriosis of pelvic peritoneum	endometriosis of pelvic peritoneum	MONDO_0001285
821	Fracture of nasal bones	bone fracture	EFO:0003931	34375979	UKB	215482.0	EUR	Population CC		2117	fracture of nasal bones	bone fracture	fracture of nasal bones	bone fracture	bone fracture	EFO_0003931
415	Other complications of labour and delivery| not elsewhere classified	Ventouse delivery	HP:0011412	34375979	UKB	146157.0	EUR	Population CC		1262	other complications of labour and delivery| not elsewhere classified	ventouse delivery	other complications of labour and delivery| not elsewhere classified	ventouse delivery	ventouse delivery	HP_0011412
651	Other retinal vascular occlusions	retinal vascular disorder	MONDO:0002311	34375979	UKB	222988.0	EUR	Population CC		1766	other retinal vascular occlusions	retinal vascular disorder	other retinal vascular occlusions	retinal vascular disorder	retinal vascular disorder	MONDO_0002311
722	Alcoholic liver disease| unspecified	alcoholic liver disease	EFO:0008573	34375979	UKB	147099.0	EUR	Population CC		1893	alcoholic liver disease| unspecified	alcoholic liver disease	alcoholic liver disease| unspecified	alcoholic liver disease	alcoholic liver disease	EFO_0008573
259	Aplastic anaemia| unspecified	Aplastic anemia	HP:0001915	34375979	UKB	198078.0	EUR	Population CC		841	aplastic anaemia| unspecified	aplastic anemia	aplastic anaemia| unspecified	aplastic anemia	aplastic anemia	HP_0001915
686	Other melanin hyperpigmentation measurement	melanin measurement	EFO:0021835	34375979	UKB	269170.0	EUR	Population CC		1826	other melanin hyperpigmentation measurement	melanin measurement	other melanin hyperpigmentation measurement	melanin measurement	melanin measurement	EFO_0021835
431	Acute peritonitis	peritonitis	EFO:0008588	34375979	UKB	202324.0	EUR	Population CC		1300	acute peritonitis	peritonitis	acute peritonitis	peritonitis	peritonitis	EFO_0008588
893	Localised swelling| mass and lump| lower limb	localized superficial swelling, mass, or lump	EFO:0010683	34375979	UKB	269170.0	EUR	Population CC		2301	localised swelling| mass and lump| lower limb	localized superficial swelling, mass, or lump	localised swelling| mass and lump| lower limb	localized superficial swelling, mass, or lump	localized superficial swelling, mass, or lump	EFO_0010683
801	Allergic contact dermatitis	allergic contact dermatitis	EFO:1000668	34375979	UKB	198757.0	EUR	Population CC		2087	allergic contact dermatitis	allergic contact dermatitis	allergic contact dermatitis	allergic contact dermatitis	allergic contact dermatitis	EFO_1000668
826	Other cervical disk degeneration	lumbar disc degeneration	EFO:0004994	34375979	UKB	269170.0	EUR	Population CC		2124	other cervical disk degeneration	lumbar disc degeneration	other cervical disk degeneration	lumbar disc degeneration	lumbar disc degeneration	EFO_0004994
607	Tremor| unspecified	Tremor	HP:0001337	34375979	UKB	269170.0	EUR	Population CC		1677	tremor| unspecified	tremor	tremor| unspecified	tremor	tremor	HP_0001337
2	Cervical disk disorder with radiculopathy	radiculopathy	MONDO:0002959	34375979	UKB	236860.0	EUR	Population CC		26	cervical disk disorder with radiculopathy	radiculopathy	cervical disk disorder with radiculopathy	radiculopathy	radiculopathy	MONDO_0002959
346	Myeloid leukaemia	acute megakaryoblastic leukaemia	EFO:0003025	34375979	UKB	219634.0	EUR	Population CC		1077	myeloid leukaemia	acute megakaryoblastic leukaemia	myeloid leukaemia	acute megakaryoblastic leukaemia	acute megakaryoblastic leukaemia	EFO_0003025
778	Collapsed vertebra| not elsewhere classified	respiratory system disease	EFO:0000684	34375979	UKB	269170.0	EUR	Population CC		2037	collapsed vertebra| not elsewhere classified	respiratory system disease	collapsed vertebra| not elsewhere classified	respiratory system disease	respiratory system disease	EFO_0000684
631	Kinking and stricture of ureter without hydronephrosis	stricture or kinking of ureter	MONDO:0002674	34375979	UKB	231641.0	EUR	Population CC		1718	kinking and stricture of ureter without hydronephrosis	stricture or kinking of ureter	kinking and stricture of ureter without hydronephrosis	stricture or kinking of ureter	stricture or kinking of ureter	MONDO_0002674
677	Other benign neoplasms of connective and other soft tissue	soft tissue sarcoma	EFO:1001968	34375979	UKB	239821.0	EUR	Population CC		1813	other benign neoplasms of connective and other soft tissue	soft tissue sarcoma	other benign neoplasms of connective and other soft tissue	soft tissue sarcoma	soft tissue sarcoma	EFO_1001968
984	Trigeminal neuralgia	trigeminal neuralgia	EFO:1001219	34375979	UKB	216863.0	EUR	Population CC		2842	trigeminal neuralgia	trigeminal neuralgia	trigeminal neuralgia	trigeminal neuralgia	trigeminal neuralgia	EFO_1001219
877	Fracture of lower end of tibia	tibia fracture	EFO:0003944	34375979	UKB	269170.0	EUR	Population CC		2250	fracture of lower end of tibia	tibia fracture	fracture of lower end of tibia	tibia fracture	tibia fracture	EFO_0003944
418	Radiation proctitis	proctitis	EFO:0005628	34375979	UKB	139085.0	EUR	Population CC		1269	radiation proctitis	proctitis	radiation proctitis	proctitis	proctitis	EFO_0005628
775	Acute tonsillitis| unspecified	Recurrent tonsillitis	HP:0011110	34375979	UKB	269170.0	EUR	Population CC		2033	acute tonsillitis| unspecified	recurrent tonsillitis	acute tonsillitis| unspecified	recurrent tonsillitis	recurrent tonsillitis	HP_0011110
952	Subsequent myocardial infarction	Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction	EFO:0008584	34375979	UKB	140992.0	EUR	Population CC		2540	subsequent myocardial infarction	subsequent st elevation (stemi) and non-st elevation (nstemi) myocardial infarction	subsequent myocardial infarction	subsequent st elevation (stemi) and non-st elevation (nstemi) myocardial infarction	subsequent st elevation (stemi) and non-st elevation (nstemi) myocardial infarction	EFO_0008584
937	Atherosclerosis of aorta	atherosclerosis	EFO:0003914	34375979	UKB	204716.0	EUR	Population CC		2473	atherosclerosis of aorta	atherosclerosis	atherosclerosis of aorta	atherosclerosis	atherosclerosis	EFO_0003914
495	Lichen sclerosus et atrophicus	lichen sclerosus et atrophicus	MONDO:0007899	34375979	UKB	168062.0	EUR	Population CC		1427	lichen sclerosus et atrophicus	lichen sclerosus et atrophicus	lichen sclerosus et atrophicus	lichen sclerosus et atrophicus	lichen sclerosus et atrophicus	MONDO_0007899
382	Vascular disorders of male genital organs	male reproductive organ cancer	EFO:0007355	34375979	UKB	123013.0	EUR	Population CC		1141	vascular disorders of male genital organs	male reproductive organ cancer	vascular disorders of male genital organs	male reproductive organ cancer	male reproductive organ cancer	EFO_0007355
896	Visual field defects	Visual field defect	HP:0001123	34375979	UKB	231431.0	EUR	Population CC		2305	visual field defects	visual field defect	visual field defects	visual field defect	visual field defect	HP_0001123
46	Antepartum haemorrhage| not elsewhere classified	Antepartum hemorrhage	HP:0025328	34375979	UKB	146157.0	EUR	Population CC		359	antepartum haemorrhage| not elsewhere classified	antepartum hemorrhage	antepartum haemorrhage| not elsewhere classified	antepartum hemorrhage	antepartum hemorrhage	HP_0025328
708	Chronic apical periodontitis	Periapical Periodontitis	EFO:1001391	34375979	UKB	234593.0	EUR	Population CC		1871	chronic apical periodontitis	periapical periodontitis	chronic apical periodontitis	periapical periodontitis	periapical periodontitis	EFO_1001391
767	Disease of pericardium| unspecified	pericardium disorder	MONDO:0000474	34375979	UKB	169382.0	EUR	Population CC		2011	disease of pericardium| unspecified	pericardium disorder	disease of pericardium| unspecified	pericardium disorder	pericardium disorder	MONDO_0000474
561	Mild cervical dysplasia	dysplasia of cervix	EFO:1000910	34375979	UKB	146157.0	EUR	Population CC		1562	mild cervical dysplasia	dysplasia of cervix	mild cervical dysplasia	dysplasia of cervix	dysplasia of cervix	EFO_1000910
89	Other specified cardiac arrhythmias	cardiac arrhythmia	EFO:0004269	34375979	UKB	215640.0	EUR	Population CC		494	other specified cardiac arrhythmias	cardiac arrhythmia	other specified cardiac arrhythmias	cardiac arrhythmia	cardiac arrhythmia	EFO_0004269
747	Fracture of shaft of tibia	tibia fracture	EFO:0003944	34375979	UKB	211293.0	EUR	Population CC		1958	fracture of shaft of tibia	tibia fracture	fracture of shaft of tibia	tibia fracture	tibia fracture	EFO_0003944
742	Decubitus ulcer and pressure area| unspecified	decubitus ulcer	EFO:0007067	34375979	UKB	221015.0	EUR	Population CC		1946	decubitus ulcer and pressure area| unspecified	decubitus ulcer	decubitus ulcer and pressure area| unspecified	decubitus ulcer	decubitus ulcer	EFO_0007067
625	Otitis media| unspecified	suppurative otitis media	EFO:0007503	34375979	UKB	269170.0	EUR	Population CC		1705	otitis media| unspecified	suppurative otitis media	otitis media| unspecified	suppurative otitis media	suppurative otitis media	EFO_0007503
154	Congenital malformations of spine and bony thorax	diffuse idiopathic skeletal hyperostosis	EFO:0007236	34375979	UKB	234954.0	EUR	Population CC		626	congenital malformations of spine and bony thorax	diffuse idiopathic skeletal hyperostosis	congenital malformations of spine and bony thorax	diffuse idiopathic skeletal hyperostosis	diffuse idiopathic skeletal hyperostosis	EFO_0007236
806	Labour and delivery complicated by umbilical cord complications	Ventouse delivery	HP:0011412	34375979	UKB	146157.0	EUR	Population CC		2094	labour and delivery complicated by umbilical cord complications	ventouse delivery	labour and delivery complicated by umbilical cord complications	ventouse delivery	ventouse delivery	HP_0011412
183	Other disorders of tympanic membrane	tympanic membrane disease	EFO:0009570	34375979	UKB	269170.0	EUR	Population CC		678	other disorders of tympanic membrane	tympanic membrane disease	other disorders of tympanic membrane	tympanic membrane disease	tympanic membrane disease	EFO_0009570
392	Encephalitis| myelitis and encephalomyelitis	encephalomyelitis	EFO:0001423	34375979	UKB	269170.0	EUR	Population CC		1168	encephalitis| myelitis and encephalomyelitis	encephalomyelitis	encephalitis| myelitis and encephalomyelitis	encephalomyelitis	encephalomyelitis	EFO_0001423
126	Other salmonella infections	Salmonella Infections	EFO:1001418	34375979	UKB	269170.0	EUR	Population CC		573	other salmonella infections	salmonella infections	other salmonella infections	salmonella infections	salmonella infections	EFO_1001418
859	Enterobiasis	enterobiasis	EFO:0007254	34375979	UKB	221681.0	EUR	Population CC		2195	enterobiasis	enterobiasis	enterobiasis	enterobiasis	enterobiasis	EFO_0007254
45	Antepartum haemorrhage| unspecified	Antepartum hemorrhage	HP:0025328	34375979	UKB	146157.0	EUR	Population CC		358	antepartum haemorrhage| unspecified	antepartum hemorrhage	antepartum haemorrhage| unspecified	antepartum hemorrhage	antepartum hemorrhage	HP_0025328
714	Disorder of prostate| unspecified	prostate disease	EFO:0009602	34375979	UKB	123013.0	EUR	Population CC		1878	disorder of prostate| unspecified	prostate disease	disorder of prostate| unspecified	prostate disease	prostate disease	EFO_0009602
644	Acute lymphadenitis	lymphadenitis	MONDO:0002052	34375979	UKB	218427.0	EUR	Population CC		1750	acute lymphadenitis	lymphadenitis	acute lymphadenitis	lymphadenitis	lymphadenitis	MONDO_0002052
833	Cramp and spasm	muscle cramp	EFO:0009846	34375979	UKB	269170.0	EUR	Population CC		2136	cramp and spasm	muscle cramp	cramp and spasm	muscle cramp	muscle cramp	EFO_0009846
470	Chronic anal fissure	Anal fissure	HP:0012390	34375979	UKB	222753.0	EUR	Population CC		1360	chronic anal fissure	anal fissure	chronic anal fissure	anal fissure	anal fissure	HP_0012390
428	Irritant contact dermatitis	irritant dermatitis	EFO:1000718	34375979	UKB	269170.0	EUR	Population CC		1295	irritant contact dermatitis	irritant dermatitis	irritant contact dermatitis	irritant dermatitis	irritant dermatitis	EFO_1000718
888	Coma| unspecified	Coma	HP:0001259	34375979	UKB	223660.0	EUR	Population CC		2285	coma| unspecified	coma	coma| unspecified	coma	coma	HP_0001259
110	Hepatic failure| unspecified	Hepatic failure	HP:0001399	34375979	UKB	182462.0	EUR	Population CC		544	hepatic failure| unspecified	hepatic failure	hepatic failure| unspecified	hepatic failure	hepatic failure	HP_0001399
187	Third degree haemorrhoids	third-degree atrioventricular block	MONDO:0000468	34375979	UKB	230649.0	EUR	Population CC		683	third degree haemorrhoids	third-degree atrioventricular block	third degree haemorrhoids	third-degree atrioventricular block	third-degree atrioventricular block	MONDO_0000468
788	Epidermal thickening| unspecified	Epidermal thickening	HP:0011368	34375979	UKB	269170.0	EUR	Population CC		2061	epidermal thickening| unspecified	epidermal thickening	epidermal thickening| unspecified	epidermal thickening	epidermal thickening	HP_0011368
